time,flow
2017-12-03 00:00,0.079
2017-12-04 00:00,0.078
2017-12-05 00:00,0.076
2017-12-06 00:00,0.139
2017-12-07 00:00,0.18
2017-12-08 00:00,0.115
2017-12-09 00:00,0.101
2017-12-10 00:00,0.092
2017-12-11 00:00,0.085
2017-12-12 00:00,0.085
2017-12-13 00:00,0.104
2017-12-14 00:00,0.089
2017-12-15 00:00,0.084
2017-12-16 00:00,0.081
2017-12-17 00:00,0.094
2017-12-18 00:00,0.086
2017-12-19 00:00,0.148
2017-12-20 00:00,0.165
2017-12-21 00:00,0.13
2017-12-22 00:00,0.112
2017-12-23 00:00,0.12
2017-12-24 00:00,0.259
2017-12-25 00:00,0.484
2017-12-26 00:00,0.285
2017-12-27 00:00,0.172
2017-12-28 00:00,0.137
2017-12-29 00:00,0.124
2017-12-30 00:00,0.122
2017-12-31 00:00,0.467
2018-01-01 00:00,0.391
2018-01-02 00:00,0.757
2018-01-03 00:00,0.645
2018-01-04 00:00,0.514
2018-01-05 00:00,0.535
2018-01-06 00:00,0.321
2018-01-07 00:00,0.234
2018-01-08 00:00,0.198
2018-01-09 00:00,0.18
2018-01-10 00:00,0.161
2018-01-11 00:00,0.151
2018-01-12 00:00,0.15
2018-01-13 00:00,0.144
2018-01-14 00:00,0.2
2018-01-15 00:00,0.224
2018-01-16 00:00,0.174
2018-01-17 00:00,0.157
2018-01-18 00:00,0.144
2018-01-19 00:00,0.139
2018-01-20 00:00,0.129
2018-01-21 00:00,0.13
2018-01-22 00:00,0.299
2018-01-23 00:00,1.128
2018-01-24 00:00,0.957
2018-01-25 00:00,0.462
2018-01-26 00:00,0.306
2018-01-27 00:00,0.388
2018-01-28 00:00,0.531
2018-01-29 00:00,0.481
2018-01-30 00:00,0.507
2018-01-31 00:00,0.47
2018-02-01 00:00,0.292
2018-02-02 00:00,0.247
2018-02-03 00:00,0.233
2018-02-04 00:00,0.223
2018-02-05 00:00,0.207
2018-02-06 00:00,0.19
2018-02-07 00:00,0.179
2018-02-08 00:00,0.184
2018-02-09 00:00,0.176
2018-02-10 00:00,0.228
2018-02-11 00:00,0.221
